Page Name,Campaign name,Ad Set Name,Ad name,Ads,Impression device,Platform,Results,Cost per result,Amount spent (USD),Reporting starts,Reporting ends
Emrys Technologies,Bathroom Remodel - Tonic MAX MEDIA T[08/25/2024],Bathroom Remodel - Tonic MAX MEDIA T [08/25/2024],Bathroom Remodel - Tonic MAX MEDIA T,Bathroom Remodel - Tonic MAX MEDIA T,ipad,facebook,30,0.1,3.14,9/1/2024,9/30/2024
Emrys Technologies,Solar - Tonic MAX MEDIA T [08/13/2024],Solar - Tonic MAX MEDIA T [08/13/2024],Solar - Tonic MAX MEDIA T,Solar - Tonic MAX MEDIA T,ipad,facebook,14,70.5,987,9/1/2024,9/30/2024
Emrys Technologies,Roofing - Tonic MAX MEDIA T [08/13/2024],Roofing - Tonic MAX MEDIA T [08/13/2024],Roofing - Tonic MAX MEDIA T,Roofing - Tonic MAX MEDIA T,ipad,facebook,0,0,549,9/1/2024,9/30/2024
Emrys Technologies,Home Renovation- Tonic MAX MEDIA T [08/13/2024],Home Renovation- Tonic MAX MEDIA T[08/13/2024],Home Renovation- Tonic MAX MEDIA T,Home Renovation- Tonic MAX MEDIA T,ipad,facebook,0,0,580,9/1/2024,9/30/2024
Emrys Technologies,Home mortgage - Tonic MAX MEDIA T[08/20/2024],Home mortgage - Tonic MAX MEDIA T,Home mortgage - Tonic MAX MEDIA T,Home mortgage - Tonic MAX MEDIA T,ipad,facebook,14,70.42,985.89,9/1/2024,9/30/2024
Emrys Technologies,Solar - Tonic MAX MEDIA T [08/13/2024],Solar - Tonic MAX MEDIA T [08/13/2024],Solar - Tonic MAX MEDIA T,Solar - Tonic MAX MEDIA T,android_tablet,facebook,16,1.87,30,9/1/2024,9/30/2024
Emrys Technologies,Home mortgage - Tonic MAX MEDIA T[08/20/2024],Home mortgage - Tonic MAX MEDIA T,Home mortgage - Tonic MAX MEDIA T,Home mortgage - Tonic MAX MEDIA T,android_tablet,facebook,16,1.73,27.68,9/1/2024,9/30/2024
Emrys Technologies,Home mortgage - Tonic MAX MEDIA T[08/20/2024],Home mortgage - Tonic MAX MEDIA T,Home mortgage - Tonic MAX MEDIA T,Home mortgage - Tonic MAX MEDIA T,desktop,facebook,"2,185",0.86,"1,899.73",9/1/2024,9/30/2024
Emrys Technologies,Bathroom Remodel - Tonic MAX MEDIA T[08/25/2024],Bathroom Remodel - Tonic MAX MEDIA T [08/25/2024],Bathroom Remodel - Tonic MAX MEDIA T,Bathroom Remodel - Tonic MAX MEDIA T,android_tablet,facebook,30,0,0.18,9/1/2024,9/30/2024
Emrys Technologies,Roofing - Tonic MAX MEDIA T [08/13/2024],Roofing - Tonic MAX MEDIA T [08/13/2024],Roofing - Tonic MAX MEDIA T,Roofing - Tonic MAX MEDIA T,android_tablet,facebook,29,1.03,30,9/1/2024,9/30/2024
Emrys Technologies,Roofing - Tonic MAX MEDIA T [08/13/2024],Roofing - Tonic MAX MEDIA T [08/13/2024],Roofing - Tonic MAX MEDIA T,Roofing - Tonic MAX MEDIA T,desktop,facebook,"4,042",0.29,"1,193",9/1/2024,9/30/2024
Emrys Technologies,Bathroom Remodel - Tonic MAX MEDIA T[08/25/2024],Bathroom Remodel - Tonic MAX MEDIA T [08/25/2024],Bathroom Remodel - Tonic MAX MEDIA T,Bathroom Remodel - Tonic MAX MEDIA T,desktop,facebook,30,0,0.12,9/1/2024,9/30/2024
Emrys Technologies,Solar - Tonic MAX MEDIA T [08/13/2024],Solar - Tonic MAX MEDIA T [08/13/2024],Solar - Tonic MAX MEDIA T,Solar - Tonic MAX MEDIA T,desktop,facebook,"2,185",0.86,"1,898",9/1/2024,9/30/2024
Emrys Technologies,Home Renovation- Tonic MAX MEDIA T [08/13/2024],Home Renovation- Tonic MAX MEDIA T[08/13/2024],Home Renovation- Tonic MAX MEDIA T,Home Renovation- Tonic MAX MEDIA T,android_tablet,facebook,106,0.28,30,9/1/2024,9/30/2024
Emrys Technologies,Home Renovation- Tonic MAX MEDIA T [08/13/2024],Home Renovation- Tonic MAX MEDIA T[08/13/2024],Home Renovation- Tonic MAX MEDIA T,Home Renovation- Tonic MAX MEDIA T,desktop,facebook,"4,512",0.26,"1,209",9/1/2024,9/30/2024
